ticker,company_name,bucket,tier,month,revenue_twd_thousands,mom_pct,yoy_pct,prior_month_yoy_pct,yoy_acceleration_ppt,cumulative_ytd_revenue_twd_thousands,cumulative_yoy_pct
3680,Gudeng,Semi Equipment / Consumables,1,2025-12,873299,,49.17,,,7344037,12.2
3680,Gudeng,Semi Equipment / Consumables,1,2026-01,633937,-27.41,62.74,49.17,13.57,633937,62.74
3680,Gudeng,Semi Equipment / Consumables,1,2026-02,569794,-10.12,24.84,62.74,-37.9,1203731,42.29
3680,Gudeng,Semi Equipment / Consumables,1,2026-03,660536,15.93,-23.43,24.84,-48.27,1864267,9.11
3680,Gudeng,Semi Equipment / Consumables,1,2026-04,885957,34.13,52.74,-23.43,76.17,2750224,20.17
3680,Gudeng,Semi Equipment / Consumables,1,2026-05,677726,-23.5,15.96,52.74,-36.78,3427950,19.31
3680,Gudeng,Semi Equipment / Consumables,1,2026-06,752110,10.98,37.93,15.96,21.97,4180060,22.28
3680,Gudeng,Semi Equipment / Consumables,1,2026-07,870996,15.81,71.69,37.93,33.76,5051056,28.67
1560,Kinik,Semi Equipment / Consumables,2,2025-12,735634,,16.67,,,8149510,16.1
1560,Kinik,Semi Equipment / Consumables,2,2026-01,752917,2.35,33.07,16.67,16.4,752917,33.07
1560,Kinik,Semi Equipment / Consumables,2,2026-02,751193,-0.23,24.35,33.07,-8.72,1504110,28.57
1560,Kinik,Semi Equipment / Consumables,2,2026-03,789165,5.05,31.15,24.35,6.8,2293276,29.44
1560,Kinik,Semi Equipment / Consumables,2,2026-04,830354,5.22,18.82,31.15,-12.33,3123630,26.44
1560,Kinik,Semi Equipment / Consumables,2,2026-05,829267,-0.13,17.78,18.82,-1.04,3952897,24.52
1560,Kinik,Semi Equipment / Consumables,2,2026-06,832959,0.45,16.39,17.78,-1.39,4785855,23.02
1560,Kinik,Semi Equipment / Consumables,2,2026-07,886323,6.41,26.56,16.39,10.17,5672178,23.56
5434,Topco Scientific,Semi Equipment / Consumables,2,2025-12,6479605,,18.88,,,67583531,18.57
5434,Topco Scientific,Semi Equipment / Consumables,2,2026-01,6004421,-7.33,8.25,18.88,-10.63,6004421,8.25
5434,Topco Scientific,Semi Equipment / Consumables,2,2026-02,5517727,-8.11,13.92,8.25,5.67,11522148,10.89
5434,Topco Scientific,Semi Equipment / Consumables,2,2026-03,7014545,27.13,30.64,13.92,16.72,18536693,17.62
5434,Topco Scientific,Semi Equipment / Consumables,2,2026-04,6776034,-3.4,16.42,30.64,-14.22,25312727,17.3
5434,Topco Scientific,Semi Equipment / Consumables,2,2026-05,6542058,-3.45,18.61,16.42,2.19,31854785,17.56
5434,Topco Scientific,Semi Equipment / Consumables,2,2026-06,7507318,14.75,32.86,18.61,14.25,39362103,20.2
5434,Topco Scientific,Semi Equipment / Consumables,2,2026-07,8173773,8.88,42.61,32.86,9.75,47535876,23.54
2330,TSMC,AI Silicon,1,2025-12,335003568,,20.43,,,3809054272,31.61
2330,TSMC,AI Silicon,1,2026-01,401255128,19.78,36.81,20.43,16.38,401255128,36.81
2330,TSMC,AI Silicon,1,2026-02,317656613,-20.83,22.17,36.81,-14.64,718911741,29.93
2330,TSMC,AI Silicon,1,2026-03,415191699,30.7,45.19,22.17,23.02,1134103440,35.13
2330,TSMC,AI Silicon,1,2026-04,410725118,-1.08,17.5,45.19,-27.69,1544828558,29.95
2330,TSMC,AI Silicon,1,2026-05,416975163,1.52,30.09,17.5,12.59,1961803721,29.98
2330,TSMC,AI Silicon,1,2026-06,442679969,6.16,67.87,30.09,37.78,2404483690,35.61
2330,TSMC,AI Silicon,1,2026-07,467580548,5.62,44.69,67.87,-23.18,2872064238,37.01
3443,Global Unichip,AI Silicon,1,2025-12,4747837,,75.68,,,34140978,36.32
3443,Global Unichip,AI Silicon,1,2026-01,4235842,-10.78,107.78,75.68,32.1,4235842,107.78
3443,Global Unichip,AI Silicon,1,2026-02,3351500,-20.88,60.15,107.78,-47.63,7587342,83.65
3443,Global Unichip,AI Silicon,1,2026-03,3860470,15.19,33.48,60.15,-26.67,11447812,62.99
3443,Global Unichip,AI Silicon,1,2026-04,4294033,11.23,156.85,33.48,123.37,15741845,81.04
3443,Global Unichip,AI Silicon,1,2026-05,4674012,8.85,132.13,156.85,-24.72,20415857,90.64
3443,Global Unichip,AI Silicon,1,2026-06,4928512,5.45,103.72,132.13,-28.41,25344369,93.05
3443,Global Unichip,AI Silicon,1,2026-07,5769170,17.06,158.38,103.72,54.66,31113539,102.55
3661,Alchip,AI Silicon,1,2025-12,1375789,,-69.33,,,30924428,-40.5
3661,Alchip,AI Silicon,1,2026-01,1432291,4.11,-56.07,-69.33,13.26,1432291,-56.07
3661,Alchip,AI Silicon,1,2026-02,826686,-42.28,-77.08,-56.07,-21.01,2258651,-67.11
3661,Alchip,AI Silicon,1,2026-03,1933218,133.85,-46.57,-77.08,30.51,4186215,-60.08
3661,Alchip,AI Silicon,1,2026-04,2132653,10.32,-32.31,-46.57,14.26,6318243,-53.66
3661,Alchip,AI Silicon,1,2026-05,1935098,-9.26,-33.45,-32.31,-1.14,8254522,-50.05
3661,Alchip,AI Silicon,1,2026-06,3572404,84.61,15.39,-33.45,48.84,11826431,-39.74
3661,Alchip,AI Silicon,1,2026-07,7433152,108.07,181.78,15.39,166.39,19173152,-13.78
3711,ASE Technology,Advanced Packaging / Test,1,2025-12,58864547,,11.27,,,645387710,8.39
3711,ASE Technology,Advanced Packaging / Test,1,2026-01,59988631,1.91,21.33,11.27,10.06,59988631,21.33
3711,ASE Technology,Advanced Packaging / Test,1,2026-02,52096847,-13.16,15.87,21.33,-5.46,112085478,18.73
3711,ASE Technology,Advanced Packaging / Test,1,2026-03,61576674,18.2,14.57,15.87,-1.3,173662152,17.22
3711,ASE Technology,Advanced Packaging / Test,1,2026-04,62247107,1.09,19.22,14.57,4.65,235909259,17.74
3711,ASE Technology,Advanced Packaging / Test,1,2026-05,63033313,1.26,28.57,19.22,9.35,298942572,19.87
3711,ASE Technology,Advanced Packaging / Test,1,2026-06,65783102,4.36,32.86,28.57,4.29,364725674,22.02
3711,ASE Technology,Advanced Packaging / Test,1,2026-07,73783701,12.16,43.15,32.86,10.29,438509375,25.13
2449,KYEC,Advanced Packaging / Test,1,2025-12,3254264,,33.04,,,34933546,30.08
2449,KYEC,Advanced Packaging / Test,1,2026-01,3369542,3.54,41.28,33.04,8.24,3369542,41.28
2449,KYEC,Advanced Packaging / Test,1,2026-02,3224527,-4.3,41.04,41.28,-0.24,6594069,41.17
2449,KYEC,Advanced Packaging / Test,1,2026-03,3597874,11.58,36.06,41.04,-4.98,10191943,39.32
2449,KYEC,Advanced Packaging / Test,1,2026-04,3743018,4.03,34.56,36.06,-1.5,13934961,38.01
2449,KYEC,Advanced Packaging / Test,1,2026-05,3776927,0.91,36.61,34.56,2.05,17711888,37.71
2449,KYEC,Advanced Packaging / Test,1,2026-06,3621671,-4.11,28.64,36.61,-7.97,21333559,36.08
2449,KYEC,Advanced Packaging / Test,1,2026-07,3990702,10.19,36.75,28.64,8.11,25324261,36.18
6239,Powertech,Advanced Packaging / Test,2,2025-12,7296529,,30.52,,,74929320,2.2
6239,Powertech,Advanced Packaging / Test,2,2026-01,7242567,-0.74,43.04,30.52,12.52,7242567,43.04
6239,Powertech,Advanced Packaging / Test,2,2026-02,6699962,-7.49,34.63,43.04,-8.41,13942529,38.87
6239,Powertech,Advanced Packaging / Test,2,2026-03,7371638,10.03,35.15,34.63,0.52,21314167,37.56
6239,Powertech,Advanced Packaging / Test,2,2026-04,7575240,2.76,32.49,35.15,-2.66,28889407,36.2
6239,Powertech,Advanced Packaging / Test,2,2026-05,7917615,4.52,30.23,32.49,-2.26,36807022,34.87
6239,Powertech,Advanced Packaging / Test,2,2026-06,7622977,-3.72,21.71,30.23,-8.52,44429999,32.41
6239,Powertech,Advanced Packaging / Test,2,2026-07,8270133,8.49,29.37,21.71,7.66,52700132,31.93
6147,Chipbond,Advanced Packaging / Test,2,2025-12,1793446,,2.31,,,21454104,5.49
6147,Chipbond,Advanced Packaging / Test,2,2026-01,1962425,9.42,19.31,2.31,17,1962425,19.31
6147,Chipbond,Advanced Packaging / Test,2,2026-02,1758645,-10.38,5.17,19.31,-14.14,3721070,12.18
6147,Chipbond,Advanced Packaging / Test,2,2026-03,2034617,15.69,11.45,5.17,6.28,5755687,11.92
6147,Chipbond,Advanced Packaging / Test,2,2026-04,2185380,7.41,24.15,11.45,12.7,7941067,15.04
6147,Chipbond,Advanced Packaging / Test,2,2026-05,2158094,-1.25,19.1,24.15,-5.05,10099161,15.89
6147,Chipbond,Advanced Packaging / Test,2,2026-06,2288255,6.03,27.06,19.1,7.96,12387416,17.8
6147,Chipbond,Advanced Packaging / Test,2,2026-07,2522679,10.24,39.18,27.06,12.12,14910095,20.94
3037,Unimicron,Substrate / AI PCB / Materials,1,2025-12,11822372,,26.88,,,131240882,13.75
3037,Unimicron,Substrate / AI PCB / Materials,1,2026-01,12766959,7.99,34.48,26.88,7.6,12766959,34.48
3037,Unimicron,Substrate / AI PCB / Materials,1,2026-02,11600477,-9.14,16.18,34.48,-18.3,24367436,25.09
3037,Unimicron,Substrate / AI PCB / Materials,1,2026-03,13079019,12.75,23.27,16.18,7.09,37446455,24.45
3037,Unimicron,Substrate / AI PCB / Materials,1,2026-04,13932815,6.53,27.64,23.27,4.37,51379270,25.3
3037,Unimicron,Substrate / AI PCB / Materials,1,2026-05,14059973,0.91,32.37,27.64,4.73,65439243,26.75
3037,Unimicron,Substrate / AI PCB / Materials,1,2026-06,14897030,5.95,36.31,32.37,3.94,80336273,28.42
3037,Unimicron,Substrate / AI PCB / Materials,1,2026-07,16253637,9.11,43.69,36.31,7.38,96589910,30.76
3189,Kinsus,Substrate / AI PCB / Materials,1,2025-12,3688833,,25.23,,,39351096,28.87
3189,Kinsus,Substrate / AI PCB / Materials,1,2026-01,3961154,7.38,54.94,25.23,29.71,3961154,54.94
3189,Kinsus,Substrate / AI PCB / Materials,1,2026-02,3204487,-19.1,10,54.94,-44.94,7165641,31.01
3189,Kinsus,Substrate / AI PCB / Materials,1,2026-03,3939324,22.93,25.06,10,15.06,11104965,28.83
3189,Kinsus,Substrate / AI PCB / Materials,1,2026-04,4072319,3.38,26.75,25.06,1.69,15177284,28.27
3189,Kinsus,Substrate / AI PCB / Materials,1,2026-05,4199867,3.13,33.02,26.75,6.27,19377151,29.27
3189,Kinsus,Substrate / AI PCB / Materials,1,2026-06,4224069,0.58,32.27,33.02,-0.75,23601220,29.79
3189,Kinsus,Substrate / AI PCB / Materials,1,2026-07,4548833,7.69,35.85,32.27,3.58,28150053,30.74
8046,Nan Ya PCB,Substrate / AI PCB / Materials,1,2025-12,3923814,,46.57,,,40172990,24.44
8046,Nan Ya PCB,Substrate / AI PCB / Materials,1,2026-01,3720425,-5.18,44.98,46.57,-1.59,3720425,44.98
8046,Nan Ya PCB,Substrate / AI PCB / Materials,1,2026-02,3166126,-14.9,12.84,44.98,-32.14,6886551,28.19
8046,Nan Ya PCB,Substrate / AI PCB / Materials,1,2026-03,4290690,35.52,39.03,12.84,26.19,11177241,32.15
8046,Nan Ya PCB,Substrate / AI PCB / Materials,1,2026-04,4450857,3.73,39.47,39.03,0.44,15628098,34.15
8046,Nan Ya PCB,Substrate / AI PCB / Materials,1,2026-05,4440287,-0.24,35.82,39.47,-3.65,20068385,34.52
8046,Nan Ya PCB,Substrate / AI PCB / Materials,1,2026-06,4684331,5.5,50.03,35.82,14.21,24752716,37.2
8046,Nan Ya PCB,Substrate / AI PCB / Materials,1,2026-07,5439751,16.13,50.24,50.03,0.21,30192467,39.38
2383,Elite Material,Substrate / AI PCB / Materials,1,2025-12,8704662,,35.79,,,94241987,46.39
2383,Elite Material,Substrate / AI PCB / Materials,1,2026-01,10862602,24.79,55.49,35.79,19.7,10862602,55.49
2383,Elite Material,Substrate / AI PCB / Materials,1,2026-02,10193772,-6.16,45.01,55.49,-10.48,21056375,50.23
2383,Elite Material,Substrate / AI PCB / Materials,1,2026-03,12010861,17.83,56.63,45.01,11.62,33067236,52.49
2383,Elite Material,Substrate / AI PCB / Materials,1,2026-04,13923687,15.93,93.62,56.63,36.99,46990923,62.74
2383,Elite Material,Substrate / AI PCB / Materials,1,2026-05,15618565,12.17,114.63,93.62,21.01,62609488,73.18
2383,Elite Material,Substrate / AI PCB / Materials,1,2026-06,17732956,13.54,120.69,114.63,6.06,80342444,81.82
2383,Elite Material,Substrate / AI PCB / Materials,1,2026-07,19206698,8.31,129.4,120.69,8.71,99549142,89.4
2368,Gold Circuit Electronics,Substrate / AI PCB / Materials,1,2025-12,5246301,,46.34,,,59728210,54.02
2368,Gold Circuit Electronics,Substrate / AI PCB / Materials,1,2026-01,6015659,14.66,68.54,46.34,22.2,6015659,68.54
2368,Gold Circuit Electronics,Substrate / AI PCB / Materials,1,2026-02,5941712,-1.23,53.91,68.54,-14.63,11957370,60.94
2368,Gold Circuit Electronics,Substrate / AI PCB / Materials,1,2026-03,7384878,24.29,63.14,53.91,9.23,19342248,61.77
2368,Gold Circuit Electronics,Substrate / AI PCB / Materials,1,2026-04,7289761,-1.29,58.41,63.14,-4.73,26632009,60.84
2368,Gold Circuit Electronics,Substrate / AI PCB / Materials,1,2026-05,8773229,20.35,87.3,58.41,28.89,35405238,66.67
2368,Gold Circuit Electronics,Substrate / AI PCB / Materials,1,2026-06,8255188,-5.9,78.22,87.3,-9.08,43660426,68.74
2368,Gold Circuit Electronics,Substrate / AI PCB / Materials,1,2026-07,10014527,21.31,77.38,78.22,-0.84,53674953,70.29
3017,Asia Vital Components,Thermal,1,2025-12,13941273,,110.24,,,139639362,94.59
3017,Asia Vital Components,Thermal,1,2026-01,17003457,21.96,150.01,110.24,39.77,17003457,150.01
3017,Asia Vital Components,Thermal,1,2026-02,14017320,-17.56,74.74,150.01,-75.27,31020777,109.27
3017,Asia Vital Components,Thermal,1,2026-03,18017169,28.54,111.72,74.74,36.98,49037946,110.17
3017,Asia Vital Components,Thermal,1,2026-04,15631449,-13.24,71.62,111.72,-40.1,64669395,99.34
3017,Asia Vital Components,Thermal,1,2026-05,15871396,1.54,60.64,71.62,-10.98,80540791,90.31
3017,Asia Vital Components,Thermal,1,2026-06,17618119,11.01,66.11,60.64,5.47,98158910,85.46
3017,Asia Vital Components,Thermal,1,2026-07,18590152,5.52,57.39,66.11,-8.72,116749062,80.34
3324,Auras,Thermal,1,2025-12,2821521,,107.5,,,23279717,47.57
3324,Auras,Thermal,1,2026-01,3041929,7.81,121.58,107.5,14.08,3041929,121.58
3324,Auras,Thermal,1,2026-02,2178371,-28.39,66.95,121.58,-54.63,5220300,94.96
3324,Auras,Thermal,1,2026-03,3329237,52.83,91.73,66.95,24.78,8549537,93.69
3324,Auras,Thermal,1,2026-04,2842339,-14.62,40.9,91.73,-50.83,11391876,77.13
3324,Auras,Thermal,1,2026-05,3138892,10.43,93.75,40.9,52.85,14530768,80.47
3324,Auras,Thermal,1,2026-06,2718035,-13.41,62.13,93.75,-31.62,17248803,77.31
3324,Auras,Thermal,1,2026-07,3765466,38.54,116.7,62.13,54.57,21014269,83.28
3653,Jentech Precision,Thermal,1,2025-12,1870032,,13.27,,,20275577,42
3653,Jentech Precision,Thermal,1,2026-01,1873115,0.16,29.43,13.27,16.16,1873115,29.43
3653,Jentech Precision,Thermal,1,2026-02,1268426,-32.28,-14.57,29.43,-44,3141541,7.15
3653,Jentech Precision,Thermal,1,2026-03,2163675,70.58,18.86,-14.57,33.43,5305216,11.63
3653,Jentech Precision,Thermal,1,2026-04,2311149,6.82,26.92,18.86,8.06,7616365,15.87
3653,Jentech Precision,Thermal,1,2026-05,2313449,0.1,37.75,26.92,10.83,9929814,20.32
3653,Jentech Precision,Thermal,1,2026-06,2649918,14.54,57.64,37.75,19.89,12579732,26.64
3653,Jentech Precision,Thermal,1,2026-07,3213171,21.26,90.96,57.64,33.32,15792903,35.95
2421,Sunonwealth,Thermal,2,2025-12,1790708,,30.08,,,18677810,27.72
2421,Sunonwealth,Thermal,2,2026-01,1778438,-0.69,36.48,30.08,6.4,1778438,36.48
2421,Sunonwealth,Thermal,2,2026-02,1323313,-25.59,2.33,36.48,-34.15,3101751,19.47
2421,Sunonwealth,Thermal,2,2026-03,1917719,44.92,22.46,2.33,20.13,5019470,20.6
2421,Sunonwealth,Thermal,2,2026-04,1871491,-2.41,14.99,22.46,-7.47,6890961,19.02
2421,Sunonwealth,Thermal,2,2026-05,1692060,-9.59,14.93,14.99,-0.06,8583021,18.19
2421,Sunonwealth,Thermal,2,2026-06,1855096,9.64,18.65,14.93,3.72,10438117,18.27
2421,Sunonwealth,Thermal,2,2026-07,2119438,14.25,31.65,18.65,13,12557555,20.34
2308,Delta Electronics,Power / Data Center Electrical,1,2025-12,53686145,,38.59,,,554885168,31.76
